-,# name,ra,dec,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,star_distance,discovered
planet,11 Com b,185.1791667,17.7927778,-,-,326.03,1.29,0.231,-,110.6,2008
planet,11 Oph b,245.6041667,-24.0872222,21,-,730000,243,-,-,145,2007
planet,11 UMi b,229.275,71.8238889,-,-,516.22,1.54,0.08,-,119.5,2009
planet,14 And b,352.8208333,39.2361111,-,-,185.84,0.83,0,-,76.4,2008
planet,14 Her b,242.5958333,43.8216667,9.1,-,1763.3,2.845,0.369,32.7,18.1,2002
planet,14 Her c,242.5958333,43.8216667,6.9,-,52596,27.4,0.64,101,18.1,2006
planet,16 Cyg B b,295.4625,50.5175,-,-,799.5,1.68,0.689,-,21.41,1996
planet,17 Sco b,243.4625,-11.8377778,-,-,578.38,1.45,0.06,-,116,2020
planet,18 Del b,314.6083333,10.8391667,-,-,993.3,2.6,0.08,-,73.1,2008
planet,1I/'Oumuamua,0,0,-,2.00E-06,-,-,1.196,-,-,2017
planet,1RXS 1609 b,242.375,-21.0827778,14,1.7,-,330,-,-,145,2008
planet,1RXS J235133.3+312720 b,357.8903083,31.45639469,32,-,-,120,-,-,-,2012
planet,1SWASP J1407 b,211.95,-39.76194447,-,-,3725,3.9,-,-,133,2012
planet,24 Boo b,217.1625,49.84500003,-,-,30.3506,0.19,0.042,-,100,2018
planet,24 Sex b,155.8682058,-0.902243676,-,-,452.8,1.333,0.09,-,72.2084,2010
planet,24 Sex c,155.8682058,-0.902243676,-,-,883,2.08,0.29,-,72.2084,2010
planet,2I/Borisov,0,0,-,6.20E-05,-,-,3.155,-,-,2019
planet,2M 0103-55 (AB) b,15.9,-55.2656,13,-,-,84,-,-,47.2,2013
planet,2M 0219-39 b,34.84166667,-39.42305557,13.9,1.44,-,156,-,-,39.4,2015
planet,2M 0441+23 b,70.4375,23.0308333,7.5,-,-,15,-,-,140,2010
planet,2M 1252+2735 b,193.2125,27.58694446,-,-,35.08,-,0,-,197.2,2021
planet,2M 1253+2734 b,193.2541667,27.57194446,-,-,24.31,-,0.681,-,-,2021
planet,2M 1258+2630 b,194.5958333,26.50250001,-,-,11.88,-,0.598,-,-,2021
planet,2M 2140+16 b,325.1208333,16.4216667,20,0.92,7340,3.53,0.26,46.2,25,2010
planet,2M 2206-20 b,331.5958333,-20.785,30,1.3,8686,4.48,0,44.3,26.67,2010
planet,2M 2236+4751 b,339.1041667,47.86194447,12.5,-,-,230,-,-,63,2016
planet,2M J2126-81 b,321.3666667,-81.64111113,13.3,-,-,6900,-,-,24.75,2016
planet,2M0045+16,11.33929167,16.57905558,25,-,-,-,-,-,15.4,2019
planet,2M0117-34,19.44750002,-34.05694445,16.4,-,-,-,-,-,39.02,2019
planet,2M0355,58.8474051,11.56216579,28,1.22,-,-,-,-,9.1203,2008
planet,2M0437 b,69.3405544,26.850296,4,-,-,118,-,-,128.1,2021
planet,2M0444,71.11309,25.20456,50,-,-,-,-,-,143.2,2013
planet,2M0838+15 b,129.55,15.18777779,-,-,-,27,-,-,49,2013
planet,2M0838+15 c,129.55,15.18777779,-,-,-,27,-,-,49,2013
planet,2M1059-21 b,164.9625,-21.21916667,66.95,-,690,0.8,0.146,32.9,31.81,2020
planet,2M1207 A,181.8875,-39.54833336,60,-,-,42,-,-,52.4,2004
planet,2M1207 b,181.8875,-39.54833336,5,-,-,42,-,-,52.4,2004
planet,2M1510A a,227.6991667,-28.30472223,40,1.57,20.902,0.063,0.31,88.5,36.6,2020
planet,2M1510A b,227.6991667,-28.30472223,39.3,1.57,20.902,0.063,0.31,88.5,36.6,2020
planet,2MASS 0359+2009 b,59.79166667,20.16000001,20,-,-,540,-,-,117.76,2019
planet,2MASS J0001+1535,0.300687111,15.59320681,33,1.22,-,-,-,-,31.6163,2022
planet,2MASS J0030-1450,7.62555101,-14.84261002,10,1.36,-,-,-,-,26.7,2022
planet,2MASS J0031+5749,7.788700003,57.82679725,24,1.2,-,-,-,-,11.6,2022
planet,2MASS J00413538-5621127 A,10.3974532,-56.35355144,30,-,-,-,-,-,34.7133,2009
planet,2MASS J00413538-5621127 B,10.3974532,-56.35355144,15,-,126,8.9,-,-,34.7133,2010
planet,2MASS J01225093-2439505 b,20.712243,-24.664049,24.5,-,-,52,-,-,36,2013
planet,2MASS J0153-6744,28.31096,-67.73838802,17,1.48,-,-,-,-,66.2,2022
planet,2MASS J0249-0557 (AB) c,42.48495208,-5.959836363,11.6,-,-,-,-,-,48.9,2018
planet,2MASS J0249-0557A,42.48495208,-5.959836363,48,-,-,-,-,-,48.9,2018
planet,2MASS J0249-0557B,42.48495208,-5.959836363,44,-,-,-,-,-,48.9,2018
planet,2MASS J0326-2102,51.67607101,-21.034937,18,1.32,-,-,-,-,41,2022
planet,2MASS J0342-6817,55.56755201,-68.29225201,17,1.48,-,-,-,-,81,2022
planet,2MASS J0348-6022,57.032171,-60.3741839,43,0.91,-,-,-,-,9,2021
planet,2MASS J0407+1546,61.78136083,15.77931668,67,0.97,-,-,-,-,36.4421,2021
planet,2MASS J0447-1216,71.87665001,-12.27098334,51,1.02,-,-,-,-,27.7,2022
planet,2MASS J0459-2853,14.751449,-28.89434603,8,1.32,-,-,-,-,38,-
planet,2MASS J0506+5236,76.70885002,52.60940835,26,1.05,-,-,-,-,17.6,2022
planet,2MASS J06023447-0034369 b,90.643653,-0.576923,1.1,1.3,3.0525,-,-,-,-,2021
planet,2MASS J0642+4101,100.5233,41.03333301,12,1.23,-,-,-,-,16.1,2022
planet,2MASS J0718-6415,109.53631,-64.25863601,3,1.29,-,-,-,-,9.34,2022
planet,2MASS J0809+4434,122.495993,44.57267002,13,1.35,-,-,-,-,25,2022
planet,2MASS J0951-8023,147.8620833,-80.39869446,15,1.45,-,-,-,-,-,2022
planet,2MASS J10475385+2124234,161.974394,21.40651901,42,-,-,-,-,-,10.56,1999
planet,2MASS J11011926-7732383 A,165.330275,-77.54397502,50,-,-,-,-,-,168,2004
planet,2MASS J11011926-7732383 B,165.330275,-77.54397502,30,-,-,240,-,-,168,2004
planet,2MASS J1119-1137 b,169.8855958,-11.62963891,3.7,-,32850,-,-,-,-,2017
planet,2MASS J1155-7919 b,178.769,-79.32,10,-,-,582,-,-,101.15,2020
planet,2MASS J1219+3128,184.964836,31.48047602,49,0.97,-,-,-,-,19,2021
planet,2MASS J1450-7841 A,222.6708333,-78.69388891,40,-,-,300,-,-,75,2017
planet,2MASS J1450-7841 B,222.675,-78.69472225,40,-,-,300,-,-,75,2017
planet,2MASS J15344984-2952274 A,233.7076667,-29.8742778,30.1,-,-,-,-,-,15.9,2008
planet,2MASS J15344984-2952274 B,233.7076667,-29.8742778,28.2,-,5550,2.3,0.24,84.3,15.9,2008
planet,2MASS J1551+0941,237.968246,9.687469017,24,1.39,-,-,-,-,64,2022
planet,2MASS J155947+440359 b,239.9458333,44.06666668,43,-,-,1101.23,-,-,44.76,2012
planet,2MASS J1647+5632,251.815856,56.53492401,18,1.22,-,-,-,-,20.2,2022
planet,2MASS J1741-4642,265.261694,-46.70607002,26,1.23,-,-,-,-,19.8,2022
planet,2MASS J2002-0521,300.7112979,-5.364606268,13,1.36,-,-,-,-,17.6316,2022
planet,2MASS J2117-2940,319.3096333,-29.66761668,7,1.38,-,-,-,-,16.9,2022
planet,2MASS J2154-1055,328.643928,-10.92523403,33,1.17,-,-,-,-,31.1,2022
planet,2MASS J2206+3301,331.6050125,33.02067778,8,1.3,-,-,-,-,34.4,2022
planet,2MASS J2206-4217,331.6874917,-42.28921274,32,1.22,-,-,-,-,29.5966,2022
planet,2MASS J2250+2325 b,342.5625,23.42611113,30,-,-,518,-,-,41.5,2017
planet,2MASS J2322-6151,350.7208604,-61.8576385,18,1.5,-,-,-,-,43.0283,2022
planet,2MASS J2343-3646,355.89461,-36.76727702,34,1.22,-,-,-,-,40.5,2022
planet,2MASSW J2208136+292121,332.056794,29.35598201,10,-,-,-,-,-,50,2000
planet,3 Cnc b,120.1958333,17.30861112,-,-,853.64,2.52,0.04,-,243.3,2020
planet,38 Vir b,193.2964895,-3.553099291,-,-,825.9,1.82,0.03,-,-,2016
planet,4 Uma b,130.0541667,64.3280556,-,-,269.3,0.87,0.432,-,78.5,2007
planet,44 Uma b,163.3916667,65.58500001,-,-,785.74,2.16,0.11,-,200.4,2020
planet,47 Uma b,164.8708333,40.4294444,-,-,1078,2.1,0.032,-,13.97,1996
planet,47 Uma c,164.8708333,40.4294444,-,-,2391,3.6,0.098,-,13.97,2001
planet,47 Uma d,164.8708333,40.4294444,-,-,14002,11.6,0.16,-,13.97,2010
planet,51 Eri b,69.40055143,-2.473548598,2.6,1.11,10260,11.1,0.49,136,29.4,2015
planet,51 Peg b,344.3625,20.7686111,0.47,1.9,4.2308,0.052,0.0069,80,14.7,1995
planet,55 Cnc b,133.1541667,28.3338889,0.84,-,14.65314,0.11339,0.0023,89.73,12.34,1996
planet,55 Cnc c,133.1541667,28.3338889,-,-,44.373,0.23735,0.072,-,12.34,2002
planet,55 Cnc d,133.1541667,28.3338889,-,-,4867,5.446,0.0269,-,12.34,2002
planet,55 Cnc e,133.1541667,28.3338889,0.02703,0.1737,0.7365478,0.015439,0.028,90.36,12.34,2004
planet,55 Cnc f,133.1541667,28.3338889,-,-,260.91,0.7733,0.08,-,12.34,2007
planet,6 Lyn b,97.6958333,58.1627778,-,-,934.3,2.11,0.073,-,56.9,2008
planet,61 Vir b,199.6,-18.3111111,-,-,4.215,0.050201,0.12,-,8.52,2009
planet,61 Vir c,199.6,-18.3111111,-,-,38.021,0.2175,0.14,-,8.52,2009
planet,61 Vir d,199.6,-18.3111111,-,-,123.01,0.476,0.35,-,8.52,2009
planet,7 CMA c,99.1708333,-19.2558333,-,-,988.9,2.143,0.046,-,19.75,2019
planet,7 CMa b,99.1708333,-19.2558333,-,-,736.9,1.761,0.055,-,19.75,2011
planet,70 Vir b,202.1083333,13.7866667,-,-,116.67,0.48,0.43,-,22,1996
planet,75 Cet b,38.0375,-1.035,-,-,691.9,2.1,-,-,81.5,2012
planet,8 Umi b,224.2,74.90083335,-,-,93.4,0.49,0.06,-,159.1,2015
planet,81 Cet b,39.425,-3.3961111,-,-,952.7,2.5,0.206,-,97.2,2008
planet,91 Aqr b,348.9708333,-9.0875,-,-,181.4,0.7,0.027,-,45.9,2003
planet,AB Aur b,73.9416667,30.5511111,9,-,-,93.9,0.4,42.6,144,2008
planet,AB Dor C b,82.43333335,-65.44833335,13,-,-,0.58,-,-,15.8,2019
planet,AB Pic b,94.8,-58.0541667,13.5,-,-,275,-,-,47.3,2005
planet,AD 3116 b,130.6643334,19.41441632,54.2,1.02,1.982796,-,0.146,88.4,186.54,2017
planet,AS 205 A b,242.8791667,-18.6402778,-,-,24.84,0.162,0.35,-,140,2017
